intended_ms,actual_ms,type,label
1000,1019,IMAGE_ONSET,Mu04.png
1500,1535,IMAGE_OFFSET,Mu04.png
2000,2022,IMAGE_ONSET,face01.png
2500,2536,IMAGE_OFFSET,face01.png
4000,4022,IMAGE_ONSET,body03.png
4500,4536,IMAGE_OFFSET,body03.png
5000,5004,SOUND_ONSET,sound02.wav
6000,6020,IMAGE_ONSET,house03.png
6500,6537,IMAGE_OFFSET,house03.png
7000,7019,IMAGE_ONSET,face12.png
7500,7519,IMAGE_OFFSET,face12.png
8000,8020,IMAGE_ONSET,Mu01.png
8500,8520,IMAGE_OFFSET,Mu01.png
9000,9020,IMAGE_ONSET,Mu03.png
9500,9522,IMAGE_OFFSET,Mu03.png
10000,10021,IMAGE_ONSET,geo06.png
10500,10536,IMAGE_OFFSET,geo06.png
11000,11020,IMAGE_ONSET,wordC03.png
11500,11536,IMAGE_OFFSET,wordC03.png
12000,12020,IMAGE_ONSET,body04.png
12500,12537,IMAGE_OFFSET,body04.png
13000,13021,IMAGE_ONSET,wordC02.png
13500,13536,IMAGE_OFFSET,wordC02.png
14000,14020,IMAGE_ONSET,geo02.png
14500,14536,IMAGE_OFFSET,geo02.png
15000,15019,IMAGE_ONSET,geo04.png
15500,15522,IMAGE_OFFSET,geo04.png
16000,16021,IMAGE_ONSET,number01.png
16500,16536,IMAGE_OFFSET,number01.png
17000,17020,IMAGE_ONSET,number03.png
17500,17520,IMAGE_OFFSET,number03.png
18000,18020,IMAGE_ONSET,wordC05.png
18500,18520,IMAGE_OFFSET,wordC05.png
19000,19020,IMAGE_ONSET,Mu02.png
19500,19521,IMAGE_OFFSET,Mu02.png
20000,20021,IMAGE_ONSET,eq03.png
20500,20521,IMAGE_OFFSET,eq03.png
21000,21022,IMAGE_ONSET,tool10.png
21500,21539,IMAGE_OFFSET,tool10.png
22000,22021,IMAGE_ONSET,graph02.png
